12,GATICA FLORA,2023,GRAN MUÑECA,/remates/view/343
13,GRAN GOTERA,2023,GRAN MUÑECA,/remates/view/343
14,FULL MINDY,2023,GRAN MUÑECA,/remates/view/343
15,FULL JANO,2023,GRAN MUÑECA,/remates/view/343
16,DULCINEA SAM,2023,GRAN MUÑECA,/remates/view/343
17,WATER WASTER,2023,GRAN MUÑECA,/remates/view/343
18,ESCAPE ESPECIAL,2023,GRAN MUÑECA,/remates/view/343
19,FULL SEASON,2023,GRAN MUÑECA,/remates/view/343
20,PURA LLUVIA,2023,GRAN MUÑECA,/remates/view/343
21,DE ESTOCOLMO,2023,GRAN MUÑECA,/remates/view/343
22,GUINEA FRANKEL,2023,GRAN MUÑECA,/remates/view/343
23,FULL TUCUMANA,2023,GRAN MUÑECA,/remates/view/343
24,FULL AMALFITANO,2023,GRAN MUÑECA,/remates/view/343
25,NANKURUNAISA,2023,GRAN MUÑECA,/remates/view/343
26,FULL TAMANGO,2023,GRAN MUÑECA,/remates/view/343
27,CALLADA ERES,2023,GRAN MUÑECA,/remates/view/343
28,DONDE SEA,2023,GRAN MUÑECA,/remates/view/343
29,FULL QUESTION,2023,GRAN MUÑECA,/remates/view/343
30,FULL TANA,2023,GRAN MUÑECA,/remates/view/343
31,WILD COUGAR,2023,GRAN MUÑECA,/remates/view/343
32,TAKE A NAP,2023,GRAN MUÑECA,/remates/view/343
33,NAMASTE,2023,GRAN MUÑECA,/remates/view/343
34,RAY OF SUNLIGHT,2023,GRAN MUÑECA,/remates/view/343
35,FULL ANALISTA,2023,GRAN MUÑECA,/remates/view/343
36,ELASTIC WOMAN,2023,GRAN MUÑECA,/remates/view/343
37,FLOR ARABESCA,2023,GRAN MUÑECA,/remates/view/343
38,ANDADOR,2023,GRAN MUÑECA,/remates/view/343
39,BANDURRION,2023,GRAN MUÑECA,/remates/view/343
40,HOMENAJEADA,2023,GRAN MUÑECA,/remates/view/343
41,WESTERN KEY,2023,GRAN MUÑECA,/remates/view/343
42,FULL MY,2023,GRAN MUÑECA,/remates/view/343
43,DERBY DAY,2023,GRAN MUÑECA,/remates/view/343
44,LA MAS PROLIJA,2023,GRAN MUÑECA,/remates/view/343
45,IN GOAL,2023,GRAN MUÑECA,/remates/view/343
46,GRAND VIN,2023,GRAN MUÑECA,/remates/view/343
47,SABIO SER,2023,GRAN MUÑECA,/remates/view/343
48,ENGLISH FILLY,2023,GRAN MUÑECA,/remates/view/343
49,BONIATO,2023,GRAN MUÑECA,/remates/view/343
50,SAINTE SCHOLASTIQUE,2023,GRAN MUÑECA,/remates/view/343
